PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,John Smith,male,22,1,0,A21171,7.25,,S
2,1,1,Mary Johnson,female,38,1,0,PC17599,71.28,C85,C
3,1,3,Sarah Lee,female,26,0,0,STON1282,7.92,,S
4,1,1,David Brown,male,35,1,0,113803,53.10,C123,S
5,0,3,James Wilson,male,35,0,0,373450,8.05,,S
6,0,3,Robert Taylor,male,27,0,0,330877,8.46,,Q
7,0,1,Michael Thomas,male,54,0,0,17463,51.86,E46,S
8,0,3,Daniel White,male,2,3,1,349909,21.07,,S
9,1,3,Emma Harris,female,27,0,2,347742,11.13,,S
10,1,2,Sophia Martin,female,14,1,0,237736,30.07,,C
11,1,3,Olivia Garcia,female,4,1,1,PP9549,16.70,G6,S
12,0,1,Elizabeth Clark,female,58,0,0,113783,26.55,C103,S
13,0,3,William Lewis,male,20,0,0,A2151,8.05,,S
14,0,3,Andrew Walker,male,39,1,5,347082,31.27,,S
15,1,3,Grace Hall,female,14,0,0,350406,7.85,,S
16,1,2,Helen Allen,female,55,0,0,248706,16.00,,S
17,0,3,Ethan Young,male,2,4,1,382652,29.12,,Q
18,1,2,Charles King,male,28,0,0,244373,13.00,,S
19,0,3,Nancy Scott,female,31,1,0,345763,18.00,,S
20,1,1,Henry Green,male,34,0,0,248698,13.00,C68,S
21,0,2,George Adams,male,45,0,0,239853,15.50,,S
22,1,1,Lucy Baker,female,29,0,0,PC17610,82.17,B20,C
23,0,3,Peter Nelson,male,30,0,0,349215,7.75,,Q
24,1,2,Linda Carter,female,24,1,0,248740,26.00,,S
25,0,3,Kevin Mitchell,male,19,0,0,347088,7.90,,S
26,1,1,Anna Perez,female,41,1,0,113781,90.00,C45,S
27,0,2,Thomas Roberts,male,36,0,1,244367,12.35,,S
28,1,3,Julia Turner,female,18,0,0,350404,7.23,,Q
29,0,1,Richard Phillips,male,50,1,1,17464,55.90,D26,S
30,1,2,Chloe Campbell,female,32,0,0,248733,21.00,,C
